Mass [Msun]          H-1               He-4            C-12             N-14              O-16             Si-28            Ni-56            
   1.641812E+00     4.157171E-10     3.070050E-08     8.428437E-09     6.071256E-17     9.307465E-08     2.739239E-03     6.359892E-01  
   1.642445E+00     6.102126E-10     1.137641E-08     1.571763E-08     1.595941E-16     1.666039E-07     4.520054E-03     6.305061E-01  
   1.642866E+00     8.039611E-10     5.470110E-09     2.489759E-08     2.966593E-16     2.563180E-07     6.513603E-03     6.250050E-01  
   1.643288E+00     1.003205E-09     3.044062E-09     3.622118E-08     4.737123E-16     3.646020E-07     8.761880E-03     6.192616E-01  
   1.643710E+00     1.204434E-09     1.888320E-09     4.974795E-08     6.890573E-16     4.917860E-07     1.123210E-02     6.132179E-01  
   1.644342E+00     1.560344E-09     9.443294E-10     7.945314E-08     1.186734E-15     7.667386E-07     1.634313E-02     6.016748E-01  
   1.644974E+00     1.788766E-09     6.927069E-10     1.001967E-07     1.538374E-15     9.574527E-07     1.969796E-02     5.944865E-01  
   1.645396E+00     2.012579E-09     5.373263E-10     1.225184E-07     1.921969E-15     1.161951E-06     2.317486E-02     5.872379E-01  
   1.646029E+00     2.430144E-09     3.758657E-10     1.690850E-07     2.734746E-15     1.588188E-06     3.012050E-02     5.732275E-01  
   1.646661E+00     2.686716E-09     3.238053E-10     2.004161E-07     3.288410E-15     1.875739E-06     3.463070E-02     5.644199E-01  
   1.647083E+00     2.938430E-09     2.894036E-10     2.334299E-07     3.878034E-15     2.179789E-06     3.926951E-02     5.555132E-01  
   1.647715E+00     3.402878E-09     2.547476E-10     2.997900E-07     5.079454E-15     2.795845E-06     4.833208E-02     5.384811E-01  
   1.648419E+00     3.789489E-09     2.446599E-10     3.598040E-07     6.181336E-15     3.359947E-06     5.630555E-02     5.238541E-01  
   1.648982E+00     4.162445E-09     2.440872E-10     4.221678E-07     7.341786E-15     3.954167E-06     6.441334E-02     5.092289E-01  
   1.649545E+00     4.544014E-09     2.503980E-10     4.902665E-07     8.625535E-15     4.613532E-06     7.310979E-02     4.937826E-01  
   1.650109E+00     4.932514E-09     2.622453E-10     5.641128E-07     1.003711E-14     5.342024E-06     8.238663E-02     4.775378E-01  
   1.650672E+00     5.324995E-09     2.787105E-10     6.435081E-07     1.157702E-14     6.142114E-06     9.220938E-02     4.605623E-01  
